Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
@{MicrosoftWindows.Client.Core_1000.22634.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.Core_1000.22634.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	S-1-5-21-3761877551-2328681871-3594665660-500	None	MicrosoftWindows.Client.Core_cw5n1h2txyewy	
@{MicrosoftWindows.Client.Core_1000.22700.1009.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.Core_1000.22700.1009.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.Client.Core_cw5n1h2txyewy	
@{MicrosoftWindows.Client.FileExp_1000.22700.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.FileExp/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.FileExp_1000.22700.1000.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.FileExp/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.Client.FileExp_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.AccountsService_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.AccountsService_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.AccountsService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.AccountsService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/Resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.DesktopSpotlight_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.DesktopSpotlight_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.IrisService_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.IrisService_1000.22621.4169.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	KRISH\krish	None	MicrosoftWindows.LKG.IrisService_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.IrisService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.IrisService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/Resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.IrisService_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.RulesEngine_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.RulesEngine/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.RulesEngine_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.RulesEngine/Resources/ProductPkgDisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.RulesEngine_cw5n1h2txyewy	
